"","pokedex_number","name","type1","type2","hp","attack","defense","sp_attack","sp_defense","speed","base_total","height_m","weight_kg","is_legendary"
"336","675","Pangoro","fighting","dark","95","124","78","69","71","58","495","2.1","136","0"
"337","677","Espurr","psychic",NA,"62","48","54","63","60","68","355","0.3","3.5","0"
"338","678","Meowstic","psychic",NA,"74","48","76","83","81","104","466","0.6","8.5","0"
"339","679","Honedge","steel","ghost","45","80","100","35","37","28","325","0.8","2","0"
"340","680","Doublade","steel","ghost","59","110","150","45","49","35","448","0.8","4.5","0"
"341","681","Aegislash","steel","ghost","60","150","50","150","50","60","520","1.7","53","0"
"342","682","Spritzee","fairy",NA,"78","52","60","63","65","23","341","0.2","0.5","0"
"343","683","Aromatisse","fairy",NA,"101","72","72","99","89","29","462","0.8","15.5","0"
"344","684","Swirlix","fairy",NA,"62","48","66","59","57","49","341","0.4","3.5","0"
"345","685","Slurpuff","fairy",NA,"82","80","86","85","75","72","480","0.8","5","0"
"346","686","Inkay","dark","psychic","53","54","53","37","46","45","288","0.4","3.5","0"
"347","687","Malamar","dark","psychic","86","92","88","68","75","73","482","1.5","47","0"
"348","688","Binacle","rock","water","42","52","67","39","56","50","306","0.5","31","0"
"349","689","Barbaracle","rock","water","72","105","115","54","86","68","500","1.3","96","0"
"350","694","Helioptile","electric","normal","44","38","33","61","43","70","289","0.5","6","0"
"351","695","Heliolisk","electric","normal","62","55","52","109","94","109","481","1","21","0"
"352","700","Sylveon","fairy",NA,"95","65","65","110","130","60","525","1","23.5","0"
"353","701","Hawlucha","fighting","flying","78","92","75","74","63","118","500","0.8","21.5","0"
"354","704","Goomy","dragon",NA,"45","50","35","55","75","40","300","0.3","2.8","0"
"355","705","Sliggoo","dragon",NA,"68","75","53","83","113","60","452","0.8","17.5","0"
"356","706","Goodra","dragon",NA,"90","100","70","110","150","80","600","2","150.5","0"
"357","708","Phantump","ghost","grass","43","70","48","50","60","38","309","0.4","7","0"
"358","709","Trevenant","ghost","grass","85","110","76","65","82","56","474","1.5","71","0"
"359","710","Pumpkaboo","ghost","grass","59","66","70","44","55","41","335","0.8","15","0"
"360","711","Gourgeist","ghost","grass","85","100","122","58","75","54","494","1.7","39","0"
"361","712","Bergmite","ice",NA,"55","69","85","32","35","28","304","1","99.5","0"
"362","713","Avalugg","ice",NA,"95","117","184","44","46","28","514","2","505","0"
"363","714","Noibat","flying","dragon","40","30","35","45","40","55","245","0.5","8","0"
"364","715","Noivern","flying","dragon","85","70","80","97","80","123","535","1.5","85","0"
"365","742","Cutiefly","bug","fairy","40","45","40","55","40","84","304","0.1","0.2","0"
"366","743","Ribombee","bug","fairy","60","55","60","95","70","124","464","0.2","0.5","0"
"367","746","Wishiwashi","water",NA,"45","140","130","140","135","30","620","0.2","0.3","0"
"368","747","Mareanie","poison","water","50","53","62","43","52","45","305","0.4","8","0"
"369","748","Toxapex","poison","water","50","63","152","53","142","35","495","0.7","14.5","0"
"370","749","Mudbray","ground",NA,"70","100","70","45","55","45","385","1","110","0"
"371","750","Mudsdale","ground",NA,"100","125","100","55","85","35","500","2.5","920","0"
"372","751","Dewpider","water","bug","38","40","52","40","72","27","269","0.3","4","0"
"373","752","Araquanid","water","bug","68","70","92","50","132","42","454","1.8","82","0"
"374","755","Morelull","grass","fairy","40","35","55","65","75","15","285","0.2","1.5","0"
"375","756","Shiinotic","grass","fairy","60","45","80","90","100","30","405","1","11.5","0"
"376","757","Salandit","poison","fire","48","44","40","71","40","77","320","0.6","4.8","0"
"377","758","Salazzle","poison","fire","68","64","60","111","60","117","480","1.2","22.2","0"
"378","759","Stufful","normal","fighting","70","75","50","45","50","50","340","0.5","6.8","0"
"379","760","Bewear","normal","fighting","120","125","80","55","60","60","500","2.1","135","0"
"380","765","Oranguru","normal","psychic","90","60","80","90","110","60","490","1.5","76","0"
"381","766","Passimian","fighting",NA,"100","120","90","40","60","80","490","2","82.8","0"
"382","767","Wimpod","bug","water","25","35","40","20","30","80","230","0.5","12","0"
"383","768","Golisopod","bug","water","75","125","140","60","90","40","530","2","108","0"
"384","771","Pyukumuku","water",NA,"55","60","130","30","130","5","410","0.3","1.2","0"
"385","772","Type: Null","normal",NA,"95","95","95","95","95","59","534","1.9","120.5","0"
"386","773","Silvally","normal",NA,"95","95","95","95","95","95","570","2.3","100.5","0"
"387","776","Turtonator","fire","dragon","60","78","135","91","85","36","485","2","212","0"
"388","777","Togedemaru","electric","steel","65","98","63","40","73","96","435","0.3","3.3","0"
"389","778","Mimikyu","ghost","fairy","55","90","80","50","105","96","476","0.2","0.7","0"
"390","780","Drampa","normal","dragon","78","60","85","135","91","36","485","3","185","0"
"391","781","Dhelmise","ghost","grass","70","131","100","86","90","40","517","3.9","210","0"
"392","782","Jangmo-o","dragon",NA,"45","55","65","45","45","45","300","0.6","29.7","0"
"393","783","Hakamo-o","dragon","fighting","55","75","90","65","70","65","420","1.2","47","0"
"394","784","Kommo-o","dragon","fighting","75","110","125","100","105","85","600","1.6","78.2","0"
